fid,iid,rep,VBS,Static B150,Lookahead 0,Lookahead 1,Lookahead 2,Lookahead 3,Lookahead 4,Lookahead 5,Lookahead 6,Lookahead 7,Lookahead 8,Lookahead 9,Lookahead 10,Lookahead 11,Lookahead 12,Lookahead 13,Lookahead 14,Lookahead 15,Lookahead 16,Lookahead 17,Lookahead 18,Lookahead 19,Lookahead 20
1,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,0,8.313350008393172e-12,5.314859663485549e-11,5.077538389741676e-11,5.077538389741676e-11,5.4150461892277235e-11,5.4150461892277235e-11,5.077538389741676e-11,5.4150461892277235e-11,4.508393658397836e-11,5.4150461892277235e-11,5.4150461892277235e-11,4.9020343340089305e-11,5.077538389741676e-11,5.077538389741676e-11,5.4150461892277235e-11,5.077538389741676e-11,5.077538389741676e-11,5.077538389741676e-11,5.077538389741676e-11,5.077538389741676e-11,5.077538389741676e-11,5.077538389741676e-11,5.077538389741676e-11
2,6,1,2.2289725620794343e-11,4.9901416332431836e-11,4.233413619658677e-11,4.078515303262975e-11,4.233413619658677e-11,4.233413619658677e-11,4.233413619658677e-11,5.165645688975928e-11,4.233413619658677e-11,4.233413619658677e-11,4.233413619658677e-11,5.165645688975928e-11,4.078515303262975e-11,4.233413619658677e-11,5.165645688975928e-11,4.233413619658677e-11,4.233413619658677e-11,4.233413619658677e-11,4.233413619658677e-11,4.233413619658677e-11,4.233413619658677e-11,4.233413619658677e-11,4.233413619658677e-11
2,6,2,3.239364332330297e-11,1.1849721204271188e-10,4.983746748621343e-11,4.905587047687732e-11,4.983746748621343e-11,4.905587047687732e-11,4.905587047687732e-11,4.905587047687732e-11,4.905587047687732e-11,4.905587047687732e-11,4.983746748621343e-11,4.905587047687732e-11,4.905587047687732e-11,4.983746748621343e-11,4.983746748621343e-11,4.983746748621343e-11,4.983746748621343e-11,4.983746748621343e-11,4.983746748621343e-11,4.983746748621343e-11,4.983746748621343e-11,4.983746748621343e-11,4.983746748621343e-11
2,6,3,1.757882728270488e-11,2.8421709430404007e-11,1.757882728270488e-11,1.757882728270488e-11,1.757882728270488e-11,1.757882728270488e-11,1.757882728270488e-11,4.2376768760732375e-11,1.757882728270488e-11,1.757882728270488e-11,4.2376768760732375e-11,1.757882728270488e-11,4.2376768760732375e-11,4.2376768760732375e-11,4.2376768760732375e-11,3.395683734197519e-11,4.2376768760732375e-11,4.2376768760732375e-11,4.2376768760732375e-11,4.2376768760732375e-11,4.2376768760732375e-11,4.2376768760732375e-11,4.2376768760732375e-11
2,6,4,1.4594547792512458e-11,5.078248932477436e-11,3.3708147384459146e-11,5.2700954711326624e-11,5.2700954711326624e-11,3.3708147384459146e-11,5.2700954711326624e-11,4.6853187996021006e-11,3.5221603411628166e-11,5.2700954711326624e-11,5.2700954711326624e-11,5.2700954711326624e-11,5.2700954711326624e-11,5.2700954711326624e-11,4.6853187996021006e-11,4.6853187996021006e-11,1.8637535958987428e-11,4.6853187996021006e-11,4.6853187996021006e-11,4.6853187996021006e-11,4.6853187996021006e-11,4.6853187996021006e-11,4.6853187996021006e-11
2,6,5,2.1181278953008587e-11,4.907008133159252e-11,4.7194248509185854e-11,4.7194248509185854e-11,4.7194248509185854e-11,3.5932146147388266e-11,7.22977233635902e-11,3.5932146147388266e-11,4.332179059929331e-11,4.7194248509185854e-11,4.7194248509185854e-11,4.7194248509185854e-11,4.332179059929331e-11,4.7194248509185854e-11,3.5932146147388266e-11,3.5932146147388266e-11,3.5932146147388266e-11,3.5932146147388266e-11,3.5932146147388266e-11,3.5932146147388266e-11,3.5932146147388266e-11,3.5932146147388266e-11,3.5932146147388266e-11
2,6,6,2.2744472971680807e-11,2.468160398194641e-05,2.2744472971680807e-11,2.2744472971680807e-11,5.2352788770804175e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11,2.2744472971680807e-11
2,6,7,8.121503469737945e-12,4.644107320928015e-11,4.730082991954987e-11,4.885691851086449e-11,2.7213786779611837e-11,4.885691851086449e-11,5.420019988378044e-11,2.7213786779611837e-11,5.420019988378044e-11,4.885691851086449e-11,4.885691851086449e-11,4.885691851086449e-11,4.885691851086449e-11,4.885691851086449e-11,4.885691851086449e-11,4.730082991954987e-11,4.730082991954987e-11,4.730082991954987e-11,4.730082991954987e-11,4.730082991954987e-11,4.730082991954987e-11,4.730082991954987e-11,4.730082991954987e-11
2,6,8,3.105071755271638e-12,3.265348954784031e-05,5.432809757621726e-11,5.432809757621726e-11,5.432809757621726e-11,5.432809757621726e-11,5.481126663653413e-11,5.2068571676500135e-11,5.2068571676500135e-11,5.432809757621726e-11,5.2068571676500135e-11,5.2068571676500135e-11,5.481126663653413e-11,5.432809757621726e-11,5.432809757621726e-11,5.2068571676500135e-11,5.2068571676500135e-11,5.2068571676500135e-11,5.2068571676500135e-11,5.2068571676500135e-11,5.2068571676500135e-11,5.2068571676500135e-11,5.2068571676500135e-11
