fid,iid,rep,budget,algorithm,precision
1,1,3,800,Elitist,-12.0
1,1,3,850,BFGS,-12.0
1,1,3,850,DE,-12.0
1,1,3,850,MLSL,-12.0
1,1,3,850,Non-elitist,-12.0
1,1,3,850,PSO,-12.0
1,1,3,850,Elitist,-12.0
1,1,3,900,BFGS,-12.0
1,1,3,900,DE,-12.0
1,1,3,900,MLSL,-12.0
1,1,3,900,Non-elitist,-12.0
1,1,3,900,PSO,-12.0
1,1,3,900,Elitist,-12.0
1,1,3,950,BFGS,-12.0
1,1,3,950,DE,-12.0
1,1,3,950,MLSL,-12.0
1,1,3,950,Non-elitist,-12.0
1,1,3,950,PSO,-12.0
1,1,3,950,Elitist,-12.0
1,1,3,1000,BFGS,-12.0
1,1,3,1000,DE,-12.0
1,1,3,1000,MLSL,-12.0
1,1,3,1000,Non-elitist,-12.0
1,1,3,1000,PSO,-12.0
1,1,3,1000,Elitist,-12.0
1,1,4,50,BFGS,-12.0
1,1,4,50,DE,-12.0
1,1,4,50,MLSL,-12.0
1,1,4,50,Non-elitist,-12.0
1,1,4,50,PSO,-1.5793233915438238
1,1,4,50,Elitist,-12.0
1,1,4,100,BFGS,-12.0
1,1,4,100,DE,-12.0
1,1,4,100,MLSL,-12.0
1,1,4,100,Non-elitist,-12.0
1,1,4,100,PSO,-1.916552485870551
1,1,4,100,Elitist,-12.0
1,1,4,150,BFGS,-12.0
1,1,4,150,DE,-12.0
1,1,4,150,MLSL,-12.0
1,1,4,150,Non-elitist,-12.0
1,1,4,150,PSO,-1.3773795726065237
1,1,4,150,Elitist,-12.0
1,1,4,200,BFGS,-12.0
1,1,4,200,DE,-12.0
1,1,4,200,MLSL,-12.0
1,1,4,200,Non-elitist,-12.0
1,1,4,200,PSO,-0.6789009478881807
1,1,4,200,Elitist,-12.0
1,1,4,250,BFGS,-12.0
1,1,4,250,DE,-12.0
1,1,4,250,MLSL,-12.0
1,1,4,250,Non-elitist,-12.0
1,1,4,250,PSO,-2.162624417504816
1,1,4,250,Elitist,-12.0
1,1,4,300,BFGS,-12.0
1,1,4,300,DE,-12.0
1,1,4,300,MLSL,-12.0
1,1,4,300,Non-elitist,-12.0
1,1,4,300,PSO,-1.0832032430619858
1,1,4,300,Elitist,-12.0
1,1,4,350,BFGS,-12.0
1,1,4,350,DE,-12.0
1,1,4,350,MLSL,-12.0
1,1,4,350,Non-elitist,-12.0
1,1,4,350,PSO,-0.8955538879227798
1,1,4,350,Elitist,-12.0
1,1,4,400,BFGS,-12.0
1,1,4,400,DE,-12.0
1,1,4,400,MLSL,-12.0
1,1,4,400,Non-elitist,-12.0
1,1,4,400,PSO,-0.7693751476112196
1,1,4,400,Elitist,-12.0
1,1,4,450,BFGS,-12.0
1,1,4,450,DE,-12.0
1,1,4,450,MLSL,-12.0
1,1,4,450,Non-elitist,-12.0
1,1,4,450,PSO,-1.55434530588951
1,1,4,450,Elitist,-12.0
1,1,4,500,BFGS,-12.0
1,1,4,500,DE,-12.0
1,1,4,500,MLSL,-12.0
1,1,4,500,Non-elitist,-12.0
1,1,4,500,PSO,-2.0277914673606996
1,1,4,500,Elitist,-12.0
1,1,4,550,BFGS,-12.0
1,1,4,550,DE,-12.0
1,1,4,550,MLSL,-12.0
1,1,4,550,Non-elitist,-12.0
1,1,4,550,PSO,-3.1933494341828332
1,1,4,550,Elitist,-12.0
1,1,4,600,BFGS,-12.0
1,1,4,600,DE,-12.0
1,1,4,600,MLSL,-12.0
1,1,4,600,Non-elitist,-12.0
1,1,4,600,PSO,-3.220451827174428
1,1,4,600,Elitist,-12.0
1,1,4,650,BFGS,-12.0
1,1,4,650,DE,-12.0
1,1,4,650,MLSL,-12.0
1,1,4,650,Non-elitist,-12.0
1,1,4,650,PSO,-3.815980949222193
1,1,4,650,Elitist,-12.0
1,1,4,700,BFGS,-12.0
1,1,4,700,DE,-12.0
1,1,4,700,MLSL,-12.0
1,1,4,700,Non-elitist,-12.0
1,1,4,700,PSO,-4.319836450961502
1,1,4,700,Elitist,-12.0
1,1,4,750,BFGS,-12.0
1,1,4,750,DE,-12.0
1,1,4,750,MLSL,-5.341025663863775
1,1,4,750,Non-elitist,-12.0
1,1,4,750,PSO,-5.341025663863775
1,1,4,750,Elitist,-12.0
1,1,4,800,BFGS,-12.0
1,1,4,800,DE,-12.0
1,1,4,800,MLSL,-12.0
1,1,4,800,Non-elitist,-12.0
1,1,4,800,PSO,-12.0
1,1,4,800,Elitist,-12.0
1,1,4,850,BFGS,-12.0
1,1,4,850,DE,-12.0
1,1,4,850,MLSL,-12.0
1,1,4,850,Non-elitist,-12.0
1,1,4,850,PSO,-12.0
1,1,4,850,Elitist,-12.0
1,1,4,900,BFGS,-12.0
1,1,4,900,DE,-12.0
1,1,4,900,MLSL,-12.0
1,1,4,900,Non-elitist,-12.0
1,1,4,900,PSO,-12.0
1,1,4,900,Elitist,-12.0
1,1,4,950,BFGS,-12.0
1,1,4,950,DE,-12.0
1,1,4,950,MLSL,-12.0
1,1,4,950,Non-elitist,-12.0
1,1,4,950,PSO,-12.0
1,1,4,950,Elitist,-12.0
1,1,4,1000,BFGS,-12.0
1,1,4,1000,DE,-12.0
1,1,4,1000,MLSL,-12.0
1,1,4,1000,Non-elitist,-12.0
1,1,4,1000,PSO,-12.0
1,1,4,1000,Elitist,-12.0
1,1,5,50,BFGS,-12.0
1,1,5,50,DE,-12.0
1,1,5,50,MLSL,-12.0
1,1,5,50,Non-elitist,-12.0
1,1,5,50,PSO,-1.1281060666630947
1,1,5,50,Elitist,-12.0
1,1,5,100,BFGS,-12.0
1,1,5,100,DE,-12.0
1,1,5,100,MLSL,-12.0
1,1,5,100,Non-elitist,-12.0
1,1,5,100,PSO,-2.101100945784758
1,1,5,100,Elitist,-12.0
1,1,5,150,BFGS,-12.0
1,1,5,150,DE,-12.0
1,1,5,150,MLSL,-12.0
1,1,5,150,Non-elitist,-12.0
1,1,5,150,PSO,-1.2468866799306146
1,1,5,150,Elitist,-12.0
1,1,5,200,BFGS,-12.0
1,1,5,200,DE,-12.0
1,1,5,200,MLSL,-12.0
1,1,5,200,Non-elitist,-12.0
1,1,5,200,PSO,-1.4020809536378038
1,1,5,200,Elitist,-12.0
1,1,5,250,BFGS,-12.0
1,1,5,250,DE,-12.0
1,1,5,250,MLSL,-12.0
1,1,5,250,Non-elitist,-12.0
1,1,5,250,PSO,-1.20737509814156
1,1,5,250,Elitist,-12.0
1,1,5,300,BFGS,-12.0
1,1,5,300,DE,-12.0
